model = bulk_NN()
predictions = predict(model,x_tst)
testAccuracy(predictions,y_tst)
%prun testAccuracy(predictions,y_tst)

         55024 function calls (53041 primitive calls) in 0.111 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    28/19    0.000    0.000    0.001    0.000 encoder.py:766(EncodeField)
       31    0.000    0.000    0.000    0.000 op_def_library.py:53(_SatisfiesTypeConstraint)
       21    0.000    0.000    0.000    0.000 ops.py:3848(_get_tensor_by_tf_output)
       24    0.000    0.000    0.000    0.000 {built-in method tensorflow.python._pywrap_tf_session.TF_OperationOutputType}
       44    0.000    0.000    0.000    0.000 base.py:453(_method_wrapper)
       82    0.000    0.000    0.000    0.000 function.py:2840(input_signature)
        3    0.000    0.000    0.000    0.000 conversion.py:129(is_whitelisted)
       57    0.000    0.000    0.000    0.000 containers.py:259(append)
       59    0.000    0.000    0.000    0.000 encoder.py:376(EncodeVarint)
    88/73    0.000    0.000    0.001    0.000 containers.py:420(MergeFrom)
       24    0.000    0.000    0.000    0.000 lock_util.py:106(_another_group_active)
       66    0.000    0.000    0.000    0.000 nest.py:203(_yield_sorted_items)
      259    0.000    0.000    0.000    0.000 {method 'write' of '_io.BytesIO' objects}
      160    0.000    0.000    0.000    0.000 iterator_ops.py:885(_serialize)
       35    0.000    0.000    0.000    0.000 type_spec.py:262(_flat_tensor_specs)
        6    0.000    0.000    0.000    0.000 function.py:2388(__init__)
       30    0.000    0.000    0.000    0.000 tf_stack.py:131(extract_stack)
       19    0.000    0.000    0.000    0.000 {built-in method tensorflow.python._pywrap_tf_session.TF_AddInput}
       33    0.000    0.000    0.000    0.000 data_adapter.py:1184(steps)
       32    0.000    0.000    0.000    0.000 nest.py:1225(<listcomp>)
       20    0.000    0.000    0.000    0.000 tf_decorator.py:236(__init__)
        4    0.000    0.000    0.003    0.001 graph_only_ops.py:29(graph_placeholder)
      109    0.000    0.000    0.000    0.000 {method 'acquire' of '_thread.lock' objects}
       13    0.000    0.000    0.000    0.000 options.py:89(merge_options)
       15    0.000    0.000    0.000    0.000 tensor_spec.py:39(__init__)
       32    0.000    0.000    0.000    0.000 {built-in method tensorflow.python._pywrap_tfe.TFE_Py_TapeSetPossibleGradientTypes}
       24    0.000    0.000    0.000    0.000 {built-in method tensorflow.python._pywrap_tf_session.GetOperationInputs}
       62    0.000    0.000    0.000    0.000 decoder.py:252(DecodeField)
       43    0.000    0.000    0.000    0.000 {built-in method tensorflow.python._pywrap_tfe.TFE_Py_TapeSetIsEmpty}
       87    0.000    0.000    0.000    0.000 ops.py:4998(_device_function_stack)
      296    0.000    0.000    0.000    0.000 encoder.py:82(_VarintSize)
       14    0.000    0.000    0.000    0.000 func_graph.py:362(as_default)
        3    0.000    0.000    0.029    0.010 function.py:2870(_get_concrete_function_garbage_collected)
       25    0.000    0.000    0.000    0.000 nest.py:461(_packed_nest_with_indices)
       24    0.000    0.000    0.000    0.000 threading.py:341(notify)
      102    0.000    0.000    0.000    0.000 object_identity.py:211(__iter__)
        3    0.000    0.000    0.006    0.002 function.py:1460(__init__)
        5    0.000    0.000    0.000    0.000 socket.py:432(send)
       11    0.000    0.000    0.000    0.000 ops.py:444(_c_api_shape)
       16    0.000    0.000    0.000    0.000 op_def_library.py:173(_MakeType)
       58    0.000    0.000    0.000    0.000 containers.py:559(__init__)
        1    0.000    0.000    0.000    0.000 {method 'argmax' of 'numpy.ndarray' objects}
       35    0.000    0.000    0.000    0.000 traceable_stack.py:119(peek_objs)
        6    0.000    0.000    0.000    0.000 {built-in method tensorflow.python._pywrap_tf_session.TF_GraphGetOpDef}
        3    0.000    0.000    0.014    0.005 api.py:417(converted_call)
       96    0.000    0.000    0.000    0.000 encoder.py:148(FieldSize)
       74    0.000    0.000    0.000    0.000 {built-in method __new__ of type object at 0x00007FFC909CC810}
       17    0.000    0.000    0.005    0.000 python_message.py:1135(MergeFromString)
       32    0.000    0.000    0.000    0.000 def_function.py:72(called_without_tracing)
       14    0.000    0.000    0.000    0.000 base.py:854(_handle_deferred_dependencies)
        3    0.000    0.000    0.000    0.000 inspect.py:2124(_signature_from_function)
        9    0.000    0.000    0.000    0.000 {built-in method numpy.array}
       34    0.000    0.000    0.000    0.000 {built-in method _functools.reduce}
       48    0.000    0.000    0.000    0.000 encoder.py:464(EncodeField)
      141    0.000    0.000    0.000    0.000 {method 'pack' of 'Struct' objects}
       32    0.000    0.000    0.000    0.000 weakref.py:382(__getitem__)
        3    0.000    0.000    0.000    0.000 {built-in method tensorflow.python._pywrap_tf_session.AddControlInput}
      128    0.000    0.000    0.000    0.000 tensor_spec.py:68(dtype)
       48    0.000    0.000    0.000    0.000 ops.py:5075(_control_dependencies_stack)
       76    0.000    0.000    0.000    0.000 {method 'update' of 'set' objects}
       41    0.000    0.000    0.000    0.000 containers.py:290(MergeFrom)
       22    0.000    0.000    0.000    0.000 encoder.py:134(PackedFieldSize)
       24    0.000    0.000    0.000    0.000 op_callbacks.py:118(should_invoke_op_callbacks)
       24    0.000    0.000    0.000    0.000 {built-in method tensorflow.python._pywrap_tf_session.TF_OperationNumOutputs}
        3    0.000    0.000    0.000    0.000 {built-in method tensorflow.python._pywrap_tf_session.TF_FunctionToFunctionDef}
       24    0.000    0.000    0.000    0.000 lock_util.py:74(group)
       28    0.000    0.000    0.000    0.000 structure.py:257(get_flat_tensor_specs)
       48    0.000    0.000    0.000    0.000 registry.py:82(lookup)
    14/11    0.000    0.000    0.000    0.000 encoder.py:759(EncodeRepeatedField)
