%prun bulk_NN()

         105169 function calls (101140 primitive calls) in 0.083 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      558    0.000    0.000    0.000    0.000 object_identity.py:63(__hash__)
     1083    0.000    0.000    0.000    0.000 context.py:1826(context_safe)
      711    0.000    0.000    0.000    0.000 descriptor.py:158(GetOptions)
      170    0.000    0.000    0.000    0.000 compat.py:64(as_bytes)
      117    0.000    0.000    0.000    0.000 type_checkers.py:162(CheckValue)
        9    0.000    0.000    0.019    0.002 core.py:1159(build)
      159    0.000    0.000    0.000    0.000 base_layer.py:2847(_flatten_layers)
       20    0.000    0.000    0.017    0.001 base_layer_utils.py:55(make_variable)
      218    0.000    0.000    0.000    0.000 enum.py:313(__call__)
      350    0.000    0.000    0.000    0.000 base_layer.py:2697(_maybe_create_attribute)
      172    0.000    0.000    0.000    0.000 python_message.py:447(MakeRepeatedMessageDefault)
      128    0.000    0.000    0.003    0.000 python_message.py:1091(SerializeToString)
       64    0.000    0.000    0.000    0.000 ops.py:4206(unique_name)
      136    0.000    0.000    0.001    0.000 data_structures.py:103(sticky_attribute_assignment)
      325    0.000    0.000    0.000    0.000 ops.py:4998(_device_function_stack)
       64    0.000    0.000    0.000    0.000 ops.py:4439(_apply_device_functions)
      158    0.000    0.000    0.000    0.000 context.py:773(_mode)
       18    0.000    0.000    0.000    0.000 {built-in method tensorflow.python._pywrap_tf_session.SetHandleShapeAndType}
     1001    0.000    0.000    0.000    0.000 {built-in method builtins.id}
      374    0.000    0.000    0.000    0.000 compat.py:90(as_text)
       64    0.000    0.000    0.000    0.000 lock_util.py:86(acquire)
     54/9    0.000    0.000    0.000    0.000 functional.py:978(_build_map_helper)
        9    0.000    0.000    0.005    0.001 core.py:1131(__init__)
       64    0.000    0.000    0.000    0.000 {built-in method tensorflow.python._pywrap_tf_session.TF_OperationOutputType}
      462    0.000    0.000    0.000    0.000 python_message.py:1416(_SetListener)
       77    0.000    0.000    0.002    0.000 tf_inspect.py:238(getfullargspec)
      135    0.000    0.000    0.001    0.000 message.py:117(CopyFrom)
       81    0.000    0.000    0.012    0.000 func_graph.py:595(capture)
       48    0.000    0.000    0.000    0.000 ops.py:4760(_attr_scope)
      168    0.000    0.000    0.000    0.000 {built-in method builtins.any}
      288    0.000    0.000    0.000    0.000 abc.py:96(__instancecheck__)
      136    0.000    0.000    0.000    0.000 _collections_abc.py:657(get)
