model = bulk_NN()
%prun predict(model,x_tst)

         147915 function calls (143274 primitive calls) in 0.181 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      376    0.000    0.000    0.000    0.000 {built-in method tensorflow.python._pywrap_utils.IsSequence}
       32    0.000    0.000    0.001    0.000 nest.py:1142(map_structure_with_tuple_paths_up_to)
      682    0.000    0.000    0.000    0.000 python_message.py:578(_GetFieldByName)
      596    0.000    0.000    0.001    0.000 abc.py:96(__instancecheck__)
      617    0.000    0.000    0.000    0.000 context.py:791(executing_eagerly)
      285    0.000    0.000    0.001    0.000 object_identity.py:195(update)
     10/1    0.000    0.000    0.039    0.039 base_layer.py:875(__call__)
     1238    0.000    0.000    0.000    0.000 {method 'append' of 'list' objects}
       97    0.000    0.000    0.000    0.000 ops.py:4206(unique_name)
       95    0.000    0.000    0.000    0.000 ops.py:4439(_apply_device_functions)
      166    0.000    0.000    0.001    0.000 type_checkers.py:162(CheckValue)
      224    0.000    0.000    0.000    0.000 context.py:773(_mode)
      244    0.000    0.000    0.000    0.000 compat.py:64(as_bytes)
      190    0.000    0.000    0.000    0.000 tpu.py:239(replace_with_unreplicated_resources)
      184    0.000    0.000    0.000    0.000 python_message.py:409(MakeMessageMapDefault)
       95    0.000    0.000    0.000    0.000 lock_util.py:86(acquire)
       63    0.000    0.000    0.001    0.000 func_graph.py:362(as_default)
      445    0.000    0.000    0.000    0.000 ops.py:4998(_device_function_stack)
      263    0.000    0.000    0.001    0.000 _collections_abc.py:742(__iter__)
      402    0.000    0.000    0.000    0.000 dtypes.py:84(base_dtype)
      182    0.000    0.000    0.000    0.000 encoder.py:393(EncodeSignedVarint)
      117    0.000    0.000    0.001    0.000 nest.py:496(_pack_sequence_as)
        4    0.000    0.000    0.075    0.019 func_graph.py:801(func_graph_from_py_func)
      211    0.000    0.000    0.000    0.000 object_identity.py:174(__init__)
       88    0.000    0.000    0.000    0.000 ops.py:3848(_get_tensor_by_tf_output)
       48    0.000    0.000    0.000    0.000 ops.py:5601(_get_outer_context_and_inner_device_stack)
        4    0.000    0.000    0.012    0.003 function.py:412(__init__)
      387    0.000    0.000    0.001    0.000 nest.py:274(flatten)
   135/35    0.000    0.000    0.001    0.000 function.py:95(_make_input_signature_hashable)
     1122    0.000    0.000    0.000    0.000 python_message.py:834(<lambda>)
      189    0.000    0.000    0.000    0.000 python_message.py:1532(__init__)
       64    0.000    0.000    0.001    0.000 op_def_library.py:173(_MakeType)
      428    0.000    0.000    0.000    0.000 object_identity.py:211(__iter__)
       32    0.000    0.000    0.000    0.000 function.py:2151(_build_call_outputs)
      159    0.000    0.000    0.001    0.000 type_spec.py:337(__get_cmp_key)
      270    0.000    0.000    0.000    0.000 ops.py:5075(_control_dependencies_stack)
      154    0.000    0.000    0.000    0.000 traceable_stack.py:119(peek_objs)
       77    0.000    0.000    0.000    0.000 tf_decorator.py:236(__init__)
      212    0.000    0.000    0.000    0.000 containers.py:247(__init__)
       20    0.000    0.000    0.009    0.000 constant_op.py:267(_constant_impl)
       95    0.000    0.000    0.000    0.000 threading.py:341(notify)
      998    0.000    0.000    0.000    0.000 context.py:1826(context_safe)
       79    0.000    0.000    0.001    0.000 ops.py:6458(__enter__)
      182    0.000    0.000    0.000    0.000 containers.py:259(append)
      838    0.000    0.000    0.000    0.000 {method 'write' of '_io.BytesIO' objects}
      111    0.000    0.000    0.011    0.000 func_graph.py:595(capture)
       32    0.000    0.000    0.000    0.000 {built-in method tensorflow.python._pywrap_tfe.TFE_Py_EncodeArg}
       95    0.000    0.000    0.000    0.000 {built-in method tensorflow.python._pywrap_tf_session.GetOperationInputs}
      212    0.000    0.000    0.000    0.000 python_message.py:453(MakeRepeatedScalarDefault)
       63    0.000    0.000    0.000    0.000 nest.py:873(flatten_up_to)
      254    0.000    0.000    0.000    0.000 ops.py:5094(_distribution_strategy_stack)
      481    0.000    0.000    0.000    0.000 containers.py:197(__init__)
    53/31    0.000    0.000    0.001    0.000 encoder.py:759(EncodeRepeatedField)
      194    0.000    0.000    0.000    0.000 c_api_util.py:157(tf_buffer)
      108    0.000    0.000    0.002    0.000 tf_stack.py:131(extract_stack)
       95    0.000    0.000    0.000    0.000 op_callbacks.py:118(should_invoke_op_callbacks)
      359    0.000    0.000    0.000    0.000 ops.py:4079(_name_stack)
      140    0.000    0.000    0.000    0.000 decoder.py:145(DecodeVarint)
       97    0.000    0.000    0.000    0.000 {built-in method tensorflow.python._pywrap_tf_session.TF_NewBuffer}
       48    0.000    0.000    0.001    0.000 ops.py:5744(executing_eagerly_outside_functions)
      889    0.000    0.000    0.000    0.000 encoder.py:82(_VarintSize)
      168    0.000    0.000    0.000    0.000 encoder.py:376(EncodeVarint)
      322    0.000    0.000    0.000    0.000 containers.py:211(__len__)
        5    0.000    0.000    0.000    0.000 ops.py:2862(__init__)
      112    0.000    0.000    0.000    0.000 context.py:219(push)
       83    0.000    0.000    0.000    0.000 ops.py:6385(name_scope)
       95    0.000    0.000    0.000    0.000 lock_util.py:74(group)
       32    0.000    0.000    0.076    0.002 function.py:1827(_filtered_call)
    74/63    0.000    0.000    0.001    0.000 encoder.py:766(EncodeField)
      131    0.000    0.000    0.001    0.000 {built-in method builtins.all}
      172    0.000    0.000    0.001    0.000 ops.py:1924(<genexpr>)
       32    0.000    0.000    0.137    0.004 def_function.py:798(_call)
       14    0.000    0.000    0.001    0.000 dataset_ops.py:186(__init__)
       19    0.000    0.000    0.000    0.000 {built-in method tensorflow.python._pywrap_tf_session.SetHandleShapeAndType}
       95    0.000    0.000    0.000    0.000 ops.py:1995(_control_flow_post_processing)
      133    0.000    0.000    0.001    0.000 python_message.py:727(setter)
      317    0.000    0.000    0.000    0.000 {method 'acquire' of '_thread.lock' objects}
      176    0.000    0.000    0.000    0.000 {built-in method _abc._abc_subclasscheck}
       64    0.000    0.000    0.000    0.000 contextlib.py:211(contextmanager)
       27    0.000    0.000    0.004    0.000 nest.py:573(map_structure)
       95    0.000    0.000    0.001    0.000 tpu.py:223(tpu_replicated_input_resolver)
      190    0.000    0.000    0.000    0.000 registry.py:82(lookup)
      966    0.000    0.000    0.000    0.000 inspect_utils.py:84(<genexpr>)
      168    0.000    0.000    0.000    0.000 encoder.py:464(EncodeField)
       95    0.000    0.000    0.000    0.000 ops.py:4603(_control_dependencies_for_inputs)
       35    0.000    0.000    0.000    0.000 nest.py:129(_sequence_like)
      126    0.000    0.000    0.000    0.000 ops.py:5387(get_controller)
      190    0.000    0.000    0.000    0.000 auto_control_deps.py:125(op_is_stateful)
      159    0.000    0.000    0.000    0.000 type_spec.py:357(<listcomp>)
       64    0.000    0.000    0.001    0.000 tf_contextlib.py:25(contextmanager)
       95    0.000    0.000    0.000    0.000 lock_util.py:106(_another_group_active)
       32    0.000    0.000    0.074    0.002 execute.py:33(quick_execute)
       95    0.000    0.000    0.000    0.000 ops.py:5059(_snapshot_colocation_stack_metadata)
      245    0.000    0.000    0.000    0.000 encoder.py:148(FieldSize)
       19    0.000    0.000    0.000    0.000 {built-in method tensorflow.python._pywrap_tf_session.TF_GraphSetOutputHandleShapesAndTypes_wrapper}
       95    0.000    0.000    0.000    0.000 {built-in method tensorflow.python._pywrap_tf_session.TF_OperationNumOutputs}
       40    0.000    0.000    0.001    0.000 tensor_shape.py:1193(as_proto)
       30    0.000    0.000    0.000    0.000 api.py:347(<genexpr>)
      285    0.000    0.000    0.000    0.000 object_identity.py:196(<listcomp>)
      159    0.000    0.000    0.000    0.000 decoder.py:252(DecodeField)
      190    0.000    0.000    0.000    0.000 ops.py:3071(_c_graph)
       20    0.000    0.000    0.019    0.001 gen_resource_variable_ops.py:451(read_variable_op)
       66    0.000    0.000    0.000    0.000 function.py:2646(_convert_numpy_inputs)
       19    0.000    0.000    0.010    0.001 func_graph.py:1123(_create_substitute_placeholder)
        8    0.000    0.000    0.004    0.001 func_graph.py:1148(_get_defun_inputs)
      113    0.000    0.000    0.000    0.000 tensor_spec.py:87(__hash__)
        9    0.000    0.000    0.000    0.000 constant_op.py:70(convert_to_eager_tensor)
       95    0.000    0.000    0.000    0.000 _collections_abc.py:676(items)
      6/4    0.000    0.000    0.059    0.015 api.py:417(converted_call)
       77    0.000    0.000    0.000    0.000 errors_impl.py:264(__init__)
